CREATE | Token: CREATE| linea= 2 | columna Inicio= 0 | columna Final= 6
, | Token: Coma| linea= 11 | columna Inicio= 22 | columna Final= 23
1 | Token: Bit | linea= 11| columna Inicio= 23| columna Final= 24
) | Token: ParentesisCerrado| linea= 11 | columna Inicio= 24 | columna Final= 25
NOT | Token: NOT| linea= 11 | columna Inicio= 26 | columna Final= 29
NULL | Token: NULL| linea= 11 | columna Inicio= 30 | columna Final= 34
, | Token: Coma| linea= 11 | columna Inicio= 34 | columna Final= 35
StartDate | Token: Identificador | linea= 12 | columna Inicio= 1 | columna Final= 10
VARCHAR | Token: VARCHAR| linea= 12 | columna Inicio= 11 | columna Final= 18
( | Token: ParentesisAbierto| linea= 12 | columna Inicio= 18 | columna Final= 19
10 | Token: Numero | linea= 12| columna Inicio= 19| columna Final= 21
) | Token: ParentesisCerrado| linea= 12 | columna Inicio= 21 | columna Final= 22
NOT | Token: NOT| linea= 12 | columna Inicio= 23 | columna Final= 26
NULL | Token: NULL| linea= 12 | columna Inicio= 27 | columna Final= 31
, | Token: Coma| linea= 12 | columna Inicio= 31 | columna Final= 32
EndDate | Token: Identificador | linea= 13 | columna Inicio= 1 | columna Final= 8
VARCHAR | Token: VARCHAR| linea= 13 | columna Inicio= 9 | columna Final= 16
( | Token: ParentesisAbierto| linea= 13 | columna Inicio= 16 | columna Final= 17
10 | Token: Numero | linea= 13| columna Inicio= 17| columna Final= 19
) | Token: ParentesisCerrado| linea= 13 | columna Inicio= 19 | columna Final= 20
NOT | Token: NOT| linea= 13 | columna Inicio= 21 | columna Final= 24
NULL | Token: NULL| linea= 13 | columna Inicio= 25 | columna Final= 29
, | Token: Coma| linea= 13 | columna Inicio= 29 | columna Final= 30
IsProcessed | Token: Identificador | linea= 14 | columna Inicio= 1 | columna Final= 12
BIT | Token: BIT| linea= 14 | columna Inicio= 13 | columna Final= 16
NOT | Token: NOT| linea= 14 | columna Inicio= 17 | columna Final= 20
NULL | Token: NULL| linea= 14 | columna Inicio= 21 | columna Final= 25
, | Token: Coma| linea= 14 | columna Inicio= 25 | columna Final= 26
ProcessedDate | Token: Identificador | linea= 15 | columna Inicio= 1 | columna Final= 14
VARCHAR | Token: VARCHAR| linea= 15 | columna Inicio= 15 | columna Final= 22
( | Token: ParentesisAbierto| linea= 15 | columna Inicio= 22 | columna Final= 23
10 | Token: Numero | linea= 15| columna Inicio= 23| columna Final= 25
) | Token: ParentesisCerrado| linea= 15 | columna Inicio= 25 | columna Final= 26
NULL | Token: NULL| linea= 15 | columna Inicio= 27 | columna Final= 31
, | Token: Coma| linea= 15 | columna Inicio= 31 | columna Final= 32
IsHorizontal | Token: Identificador | linea= 16 | columna Inicio= 1 | columna Final= 13
BIT | Token: BIT| linea= 16 | columna Inicio= 14 | columna Final= 17
NOT | Token: NOT| linea= 16 | columna Inicio= 18 | columna Final= 21
NULL | Token: NULL| linea= 16 | columna Inicio= 22 | columna Final= 26
, | Token: Coma| linea= 16 | columna Inicio= 26 | columna Final= 27
CONSTRAINT | Token: CONSTRAINT| linea= 17 | columna Inicio= 1 | columna Final= 11
PK_DEXTask | Token: Identificador | linea= 17 | columna Inicio= 12 | columna Final= 22
PRIMARY | Token: PRIMARY| linea= 17 | columna Inicio= 23 | columna Final= 30
KEY | Token: KEY| linea= 17 | columna Inicio= 31 | columna Final= 34
CLUSTERED | Token: CLUSTERED| linea= 17 | columna Inicio= 35 | columna Final= 44
( | Token: ParentesisAbierto| linea= 18 | columna Inicio= 0 | columna Final= 1
TaskId | Token: Identificador | linea= 19 | columna Inicio= 1 | columna Final= 7
ASC | Token: ASC| linea= 19 | columna Inicio= 8 | columna Final= 11
) | Token: ParentesisCerrado| linea= 20 | columna Inicio= 0 | columna Final= 1
) | Token: ParentesisCerrado| linea= 21 | columna Inicio= 0 | columna Final= 1
ON | Token: ON| linea= 21 | columna Inicio= 2 | columna Final= 4
PRIMARY | Token: PRIMARY| linea= 21 | columna Inicio= 5 | columna Final= 12
GO | Token: GO| linea= 22 | columna Inicio= 0 | columna Final= 2
ALTER | Token: ALTER| linea= 24 | columna Inicio= 0 | columna Final= 5
VIEW | Token: VIEW| linea= 24 | columna Inicio= 6 | columna Final= 10
dbo | Token: Identificador | linea= 24 | columna Inicio= 11 | columna Final= 14
. | Token: Punto| linea= 24 | columna Inicio= 14 | columna Final= 15
jr_JOURRSPPAG | Token: Identificador | linea= 24 | columna Inicio= 15 | columna Final= 28
AS | Token: AS| linea= 24 | columna Inicio= 29 | columna Final= 31
SELECT | Token: SELECT| linea= 25 | columna Inicio= 3 | columna Final= 9
TaskId | Token: Identificador | linea= 25 | columna Inicio= 10 | columna Final= 16
AS | Token: AS| linea= 25 | columna Inicio= 17 | columna Final= 19
C1 | Token: Identificador | linea= 25 | columna Inicio= 20 | columna Final= 22
, | Token: Coma| linea= 25 | columna Inicio= 22 | columna Final= 23
COUNT | Token: COUNT| linea= 25 | columna Inicio= 24 | columna Final= 29
( | Token: ParentesisAbierto| linea= 25 | columna Inicio= 29 | columna Final= 30
1 | Token: Bit | linea= 25| columna Inicio= 30| columna Final= 31
) | Token: ParentesisCerrado| linea= 25 | columna Inicio= 31 | columna Final= 32
AS | Token: AS| linea= 25 | columna Inicio= 33 | columna Final= 35
BeforeTruncateCount | Token: Identificador | linea= 25 | columna Inicio= 36 | columna Final= 55
FROM | Token: FROM| linea= 26 | columna Inicio= 1 | columna Final= 5
test | Token: Identificador | linea= 26 | columna Inicio= 6 | columna Final= 10
. | Token: Punto| linea= 26 | columna Inicio= 10 | columna Final= 11
cqf | Token: Identificador | linea= 26 | columna Inicio= 11 | columna Final= 14
. | Token: Punto| linea= 26 | columna Inicio= 14 | columna Final= 15
DEXTask | Token: Identificador | linea= 26 | columna Inicio= 15 | columna Final= 22
WHERE | Token: WHERE| linea= 27 | columna Inicio= 1 | columna Final= 6
( | Token: ParentesisAbierto| linea= 27 | columna Inicio= 7 | columna Final= 8
( | Token: ParentesisAbierto| linea= 27 | columna Inicio= 8 | columna Final= 9
TaskId | Token: Identificador | linea= 27 | columna Inicio= 9 | columna Final= 15
> | Token: Mayor| linea= 27 | columna Inicio= 16 | columna Final= 17
3240823408 | Token: Numero | linea= 27| columna Inicio= 18| columna Final= 28
) | Token: ParentesisCerrado| linea= 27 | columna Inicio= 28 | columna Final= 29
AND | Token: AND| linea= 27 | columna Inicio= 30 | columna Final= 33
TaskId | Token: Identificador | linea= 27 | columna Inicio= 34 | columna Final= 40
< | Token: Menor| linea= 27 | columna Inicio= 41 | columna Final= 42
3240823408 | Token: Numero | linea= 27| columna Inicio= 43| columna Final= 53
) | Token: ParentesisCerrado| linea= 27 | columna Inicio= 53 | columna Final= 54
AND | Token: AND| linea= 27 | columna Inicio= 55 | columna Final= 58
( | Token: ParentesisAbierto| linea= 27 | columna Inicio= 59 | columna Final= 60
TaskId | Token: Identificador | linea= 27 | columna Inicio= 60 | columna Final= 66
< | Token: Menor| linea= 27 | columna Inicio= 67 | columna Final= 68
3240823408 | Token: Numero | linea= 27| columna Inicio= 69| columna Final= 79
) | Token: ParentesisCerrado| linea= 27 | columna Inicio= 79 | columna Final= 80
GROUP | Token: GROUP| linea= 28 | columna Inicio= 1 | columna Final= 6
BY | Token: BY| linea= 28 | columna Inicio= 7 | columna Final= 9
TaskId | Token: Identificador | linea= 28 | columna Inicio= 10 | columna Final= 16
ORDER | Token: ORDER| linea= 29 | columna Inicio= 1 | columna Final= 6
BY | Token: BY| linea= 29 | columna Inicio= 7 | columna Final= 9
TaskId | Token: Identificador | linea= 29 | columna Inicio= 10 | columna Final= 16
ASC | Token: ASC| linea= 29 | columna Inicio= 17 | columna Final= 20
GO | Token: GO| linea= 30 | columna Inicio= 0 | columna Final= 2
TRUNCATE | Token: TRUNCATE| linea= 32 | columna Inicio= 0 | columna Final= 8
TABLE | Token: TABLE| linea= 32 | columna Inicio= 9 | columna Final= 14
test | Token: Identificador | linea= 32 | columna Inicio= 15 | columna Final= 19
. | Token: Punto| linea= 32 | columna Inicio= 19 | columna Final= 20
cqf | Token: Identificador | linea= 32 | columna Inicio= 20 | columna Final= 23
. | Token: Punto| linea= 32 | columna Inicio= 23 | columna Final= 24
DEXTask | Token: Identificador | linea= 32 | columna Inicio= 24 | columna Final= 31
GO | Token: GO| linea= 33 | columna Inicio= 0 | columna Final= 2
INSERT | Token: INSERT| linea= 35 | columna Inicio= 0 | columna Final= 6
INTO | Token: INTO| linea= 35 | columna Inicio= 7 | columna Final= 11
test | Token: Identificador | linea= 35 | columna Inicio= 12 | columna Final= 16
. | Token: Punto| linea= 35 | columna Inicio= 16 | columna Final= 17
cqf | Token: Identificador | linea= 35 | columna Inicio= 17 | columna Final= 20
. | Token: Punto| linea= 35 | columna Inicio= 20 | columna Final= 21
DEXTask | Token: Identificador | linea= 35 | columna Inicio= 21 | columna Final= 28
( | Token: ParentesisAbierto| linea= 35 | columna Inicio= 28 | columna Final= 29
TaskId | Token: Identificador | linea= 35 | columna Inicio= 29 | columna Final= 35
, | Token: Coma| linea= 35 | columna Inicio= 35 | columna Final= 36
StartDate | Token: Identificador | linea= 35 | columna Inicio= 36 | columna Final= 45
, | Token: Coma| linea= 35 | columna Inicio= 45 | columna Final= 46
EndDate | Token: Identificador | linea= 35 | columna Inicio= 46 | columna Final= 53
, | Token: Coma| linea= 35 | columna Inicio= 53 | columna Final= 54
IsProcessed | Token: Identificador | linea= 35 | columna Inicio= 54 | columna Final= 65
, | Token: Coma| linea= 35 | columna Inicio= 65 | columna Final= 66
ProcessedDate | Token: Identificador | linea= 35 | columna Inicio= 66 | columna Final= 79
, | Token: Coma| linea= 35 | columna Inicio= 79 | columna Final= 80
IsHorizontal | Token: Identificador | linea= 35 | columna Inicio= 80 | columna Final= 92
) | Token: ParentesisCerrado| linea= 35 | columna Inicio= 92 | columna Final= 93
VALUES | Token: VALUES| linea= 36 | columna Inicio= 0 | columna Final= 6
( | Token: ParentesisAbierto| linea= 36 | columna Inicio= 6 | columna Final= 7
12345 | Token: Numero | linea= 36| columna Inicio= 7| columna Final= 12
, | Token: Coma| linea= 36 | columna Inicio= 12 | columna Final= 13
'2019-10-01' | Token: String | linea= 36| columna Inicio= 13| columna Final= 25
, | Token: Coma| linea= 36 | columna Inicio= 25 | columna Final= 26
'2019-10-03' | Token: String | linea= 36| columna Inicio= 26| columna Final= 38
, | Token: Coma| linea= 36 | columna Inicio= 38 | columna Final= 39
1 | Token: Bit | linea= 36| columna Inicio= 39| columna Final= 40
, | Token: Coma| linea= 36 | columna Inicio= 40 | columna Final= 41
'2019-10-02' | Token: String | linea= 36| columna Inicio= 41| columna Final= 53
, | Token: Coma| linea= 36 | columna Inicio= 53 | columna Final= 54
1 | Token: Bit | linea= 36| columna Inicio= 54| columna Final= 55
) | Token: ParentesisCerrado| linea= 36 | columna Inicio= 55 | columna Final= 56
; | Token: PuntoyComa| linea= 37 | columna Inicio= 0 | columna Final= 1
SELECT | Token: SELECT| linea= 39 | columna Inicio= 0 | columna Final= 6
COUNT | Token: COUNT| linea= 39 | columna Inicio= 7 | columna Final= 12
( | Token: ParentesisAbierto| linea= 39 | columna Inicio= 12 | columna Final= 13
* | Token: Multiplicacion| linea= 39 | columna Inicio= 13 | columna Final= 14
) | Token: ParentesisCerrado| linea= 39 | columna Inicio= 14 | columna Final= 15
FROM | Token: FROM| linea= 40 | columna Inicio= 2 | columna Final= 6
Reservacion | Token: Identificador | linea= 40 | columna Inicio= 7 | columna Final= 18
a | Token: Identificador | linea= 40 | columna Inicio= 19 | columna Final= 20
WHERE | Token: WHERE| linea= 41 | columna Inicio= 2 | columna Final= 7
a | Token: Identificador | linea= 41 | columna Inicio= 8 | columna Final= 9
. | Token: Punto| linea= 41 | columna Inicio= 9 | columna Final= 10
NumeroDeAsiento | Token: Identificador | linea= 41 | columna Inicio= 10 | columna Final= 25
= | Token: Igual| linea= 41 | columna Inicio= 26 | columna Final= 27
@ | Token: Arroba| linea= 41 | columna Inicio= 28 | columna Final= 29
asiento | Token: Identificador | linea= 41 | columna Inicio= 29 | columna Final= 36
AND | Token: AND| linea= 41 | columna Inicio= 37 | columna Final= 40
a | Token: Identificador | linea= 41 | columna Inicio= 41 | columna Final= 42
. | Token: Punto| linea= 41 | columna Inicio= 42 | columna Final= 43
Seccion | Token: Identificador | linea= 41 | columna Inicio= 43 | columna Final= 50
= | Token: Igual| linea= 41 | columna Inicio= 51 | columna Final= 52
@ | Token: Arroba| linea= 41 | columna Inicio= 53 | columna Final= 54
seccion | Token: Identificador | linea= 41 | columna Inicio= 54 | columna Final= 61
AND | Token: AND| linea= 41 | columna Inicio= 62 | columna Final= 65
@ | Token: Arroba| linea= 41 | columna Inicio= 66 | columna Final= 67
vuelo | Token: Identificador | linea= 41 | columna Inicio= 67 | columna Final= 72
= | Token: Igual| linea= 41 | columna Inicio= 73 | columna Final= 74
a | Token: Identificador | linea= 41 | columna Inicio= 75 | columna Final= 76
. | Token: Punto| linea= 41 | columna Inicio= 76 | columna Final= 77
ID_Vuelo | Token: Identificador | linea= 41 | columna Inicio= 77 | columna Final= 85
; | Token: PuntoyComa| linea= 41 | columna Inicio= 85 | columna Final= 86
CREATE | Token: CREATE| linea= 43 | columna Inicio= 0 | columna Final= 6
PROCEDURE | Token: PROCEDURE| linea= 43 | columna Inicio= 7 | columna Final= 16
dbo | Token: Identificador | linea= 43 | columna Inicio= 17 | columna Final= 20
. | Token: Punto| linea= 43 | columna Inicio= 20 | columna Final= 21
uspINSERTarPersona | Token: Identificador | linea= 43 | columna Inicio= 21 | columna Final= 39
@ | Token: Arroba| linea= 43 | columna Inicio= 40 | columna Final= 41
URL | Token: Identificador | linea= 43 | columna Inicio= 41 | columna Final= 44
VARCHAR | Token: VARCHAR| linea= 43 | columna Inicio= 45 | columna Final= 52
( | Token: ParentesisAbierto| linea= 43 | columna Inicio= 52 | columna Final= 53
200 | Token: Numero | linea= 43| columna Inicio= 53| columna Final= 56
) | Token: ParentesisCerrado| linea= 43 | columna Inicio= 56 | columna Final= 57
AS | Token: AS| linea= 44 | columna Inicio= 0 | columna Final= 2
BEGIN | Token: BEGIN| linea= 45 | columna Inicio= 0 | columna Final= 5
INSERT | Token: INSERT| linea= 46 | columna Inicio= 1 | columna Final= 7
INTO | Token: INTO| linea= 46 | columna Inicio= 8 | columna Final= 12
Persona | Token: Identificador | linea= 46 | columna Inicio= 13 | columna Final= 20
( | Token: ParentesisAbierto| linea= 46 | columna Inicio= 21 | columna Final= 22
Nombre | Token: Identificador | linea= 46 | columna Inicio= 22 | columna Final= 28
, | Token: Coma| linea= 46 | columna Inicio= 28 | columna Final= 29
Apellido | Token: Identificador | linea= 46 | columna Inicio= 30 | columna Final= 38
, | Token: Coma| linea= 46 | columna Inicio= 38 | columna Final= 39
Pasaporte | Token: Identificador | linea= 46 | columna Inicio= 40 | columna Final= 49
, | Token: Coma| linea= 46 | columna Inicio= 49 | columna Final= 50
TarjetaDeCredito | Token: Identificador | linea= 46 | columna Inicio= 51 | columna Final= 67
) | Token: ParentesisCerrado| linea= 46 | columna Inicio= 67 | columna Final= 68
DEFAULT | Token: DEFAULT| linea= 46 | columna Inicio= 69 | columna Final= 76
VALUES | Token: VALUES| linea= 46 | columna Inicio= 77 | columna Final= 83
; | Token: PuntoyComa| linea= 46 | columna Inicio= 83 | columna Final= 84
SELECT | Token: SELECT| linea= 47 | columna Inicio= 1 | columna Final= 7
PersonaTemp | Token: Identificador | linea= 47 | columna Inicio= 8 | columna Final= 19
. | Token: Punto| linea= 47 | columna Inicio= 19 | columna Final= 20
Nombre | Token: Identificador | linea= 47 | columna Inicio= 20 | columna Final= 26
, | Token: Coma| linea= 47 | columna Inicio= 26 | columna Final= 27
PersonaTemp | Token: Identificador | linea= 47 | columna Inicio= 28 | columna Final= 39
. | Token: Punto| linea= 47 | columna Inicio= 39 | columna Final= 40
Apellido | Token: Identificador | linea= 47 | columna Inicio= 40 | columna Final= 48
, | Token: Coma| linea= 47 | columna Inicio= 48 | columna Final= 49
PersonaTemp | Token: Identificador | linea= 47 | columna Inicio= 50 | columna Final= 61
. | Token: Punto| linea= 47 | columna Inicio= 61 | columna Final= 62
Pasaporte | Token: Identificador | linea= 47 | columna Inicio= 62 | columna Final= 71
, | Token: Coma| linea= 47 | columna Inicio= 71 | columna Final= 72
PersonaTemp | Token: Identificador | linea= 47 | columna Inicio= 73 | columna Final= 84
. | Token: Punto| linea= 47 | columna Inicio= 84 | columna Final= 85
TarjetaDeCredito | Token: Identificador | linea= 47 | columna Inicio= 85 | columna Final= 101
FROM | Token: FROM| linea= 47 | columna Inicio= 102 | columna Final= 106
PersonaTemp | Token: Identificador | linea= 47 | columna Inicio= 107 | columna Final= 118
; | Token: PuntoyComa| linea= 47 | columna Inicio= 118 | columna Final= 119
END | Token: END| linea= 48 | columna Inicio= 0 | columna Final= 3
; | Token: PuntoyComa| linea= 48 | columna Inicio= 4 | columna Final= 5
EXEC | Token: EXEC| linea= 51 | columna Inicio= 0 | columna Final= 4
dbo | Token: Identificador | linea= 51 | columna Inicio= 5 | columna Final= 8
. | Token: Punto| linea= 51 | columna Inicio= 8 | columna Final= 9
uspINSERTarPersona | Token: Identificador | linea= 51 | columna Inicio= 9 | columna Final= 27
'C:\Pruebas\Populate_JOSE_SQLEXPRESS_ABC_Persona1.csv' | Token: String | linea= 51| columna Inicio= 28| columna Final= 82
; | Token: PuntoyComa| linea= 51 | columna Inicio= 83 | columna Final= 84
DELETE | Token: DELETE| linea= 53 | columna Inicio= 0 | columna Final= 6
FROM | Token: FROM| linea= 53 | columna Inicio= 7 | columna Final= 11
Reservacion | Token: Identificador | linea= 53 | columna Inicio= 12 | columna Final= 23
WHERE | Token: WHERE| linea= 53 | columna Inicio= 24 | columna Final= 29
ID | Token: Identificador | linea= 53 | columna Inicio= 30 | columna Final= 32
= | Token: Igual| linea= 53 | columna Inicio= 33 | columna Final= 34
@ | Token: Arroba| linea= 53 | columna Inicio= 35 | columna Final= 36
idReserva | Token: Identificador | linea= 53 | columna Inicio= 36 | columna Final= 45
; | Token: PuntoyComa| linea= 53 | columna Inicio= 45 | columna Final= 46
CREATE | Token: CREATE| linea= 57 | columna Inicio= 0 | columna Final= 6
PROCEDURE | Token: PROCEDURE| linea= 57 | columna Inicio= 7 | columna Final= 16
dbo | Token: Identificador | linea= 57 | columna Inicio= 17 | columna Final= 20
. | Token: Punto| linea= 57 | columna Inicio= 20 | columna Final= 21
uspRevisarFecha | Token: Identificador | linea= 57 | columna Inicio= 21 | columna Final= 36
AS | Token: AS| linea= 58 | columna Inicio= 0 | columna Final= 2
BEGIN | Token: BEGIN| linea= 59 | columna Inicio= 0 | columna Final= 5
SELECT | Token: SELECT| linea= 60 | columna Inicio= 1 | columna Final= 7
ID | Token: Identificador | linea= 60 | columna Inicio= 8 | columna Final= 10
, | Token: Coma| linea= 60 | columna Inicio= 10 | columna Final= 11
reservadoHasta | Token: Identificador | linea= 60 | columna Inicio= 12 | columna Final= 26
, | Token: Coma| linea= 60 | columna Inicio= 26 | columna Final= 27
confirmado | Token: Identificador | linea= 60 | columna Inicio= 28 | columna Final= 38
, | Token: Coma| linea= 60 | columna Inicio= 38 | columna Final= 39
Cola | Token: Identificador | linea= 60 | columna Inicio= 40 | columna Final= 44
FROM | Token: FROM| linea= 60 | columna Inicio= 45 | columna Final= 49
Reservacion | Token: Identificador | linea= 60 | columna Inicio= 50 | columna Final= 61
; | Token: PuntoyComa| linea= 60 | columna Inicio= 61 | columna Final= 62
INSERT | Token: INSERT| linea= 61 | columna Inicio= 1 | columna Final= 7
INTO | Token: INTO| linea= 61 | columna Inicio= 8 | columna Final= 12
Reservacion | Token: Identificador | linea= 61 | columna Inicio= 13 | columna Final= 24
( | Token: ParentesisAbierto| linea= 61 | columna Inicio= 24 | columna Final= 25
ID_Persona | Token: Identificador | linea= 61 | columna Inicio= 25 | columna Final= 35
, | Token: Coma| linea= 61 | columna Inicio= 35 | columna Final= 36
ID_Vuelo | Token: Identificador | linea= 61 | columna Inicio= 36 | columna Final= 44
, | Token: Coma| linea= 61 | columna Inicio= 44 | columna Final= 45
reservadoHasta | Token: Identificador | linea= 61 | columna Inicio= 45 | columna Final= 59
, | Token: Coma| linea= 61 | columna Inicio= 59 | columna Final= 60
FechaReservacion | Token: Identificador | linea= 61 | columna Inicio= 60 | columna Final= 76
, | Token: Coma| linea= 61 | columna Inicio= 76 | columna Final= 77
confirmado | Token: Identificador | linea= 61 | columna Inicio= 77 | columna Final= 87
, | Token: Coma| linea= 61 | columna Inicio= 87 | columna Final= 88
FormaDePago | Token: Identificador | linea= 61 | columna Inicio= 88 | columna Final= 99
, | Token: Coma| linea= 61 | columna Inicio= 99 | columna Final= 100
NumeroDeAsiento | Token: Identificador | linea= 61 | columna Inicio= 100 | columna Final= 115
, | Token: Coma| linea= 61 | columna Inicio= 115 | columna Final= 116
Canal | Token: Identificador | linea= 61 | columna Inicio= 116 | columna Final= 121
, | Token: Coma| linea= 61 | columna Inicio= 121 | columna Final= 122
Seccion | Token: Identificador | linea= 61 | columna Inicio= 122 | columna Final= 129
, | Token: Coma| linea= 61 | columna Inicio= 129 | columna Final= 130
Cola | Token: Identificador | linea= 61 | columna Inicio= 130 | columna Final= 134
) | Token: ParentesisCerrado| linea= 61 | columna Inicio= 134 | columna Final= 135
VALUES | Token: VALUES| linea= 61 | columna Inicio= 136 | columna Final= 142
( | Token: ParentesisAbierto| linea= 62 | columna Inicio= 3 | columna Final= 4
@ | Token: Arroba| linea= 63 | columna Inicio= 4 | columna Final= 5
IdPersona | Token: Identificador | linea= 63 | columna Inicio= 5 | columna Final= 14
, | Token: Coma| linea= 63 | columna Inicio= 14 | columna Final= 15
@ | Token: Arroba| linea= 63 | columna Inicio= 16 | columna Final= 17
vuelo | Token: Identificador | linea= 63 | columna Inicio= 17 | columna Final= 22
, | Token: Coma| linea= 63 | columna Inicio= 22 | columna Final= 23
@ | Token: Arroba| linea= 63 | columna Inicio= 24 | columna Final= 25
fecha | Token: Identificador | linea= 63 | columna Inicio= 25 | columna Final= 30
, | Token: Coma| linea= 63 | columna Inicio= 30 | columna Final= 31
0 | Token: Bit | linea= 63| columna Inicio= 32| columna Final= 33
, | Token: Coma| linea= 63 | columna Inicio= 33 | columna Final= 34
@ | Token: Arroba| linea= 63 | columna Inicio= 35 | columna Final= 36
FormaPago | Token: Identificador | linea= 63 | columna Inicio= 36 | columna Final= 45
, | Token: Coma| linea= 63 | columna Inicio= 45 | columna Final= 46
@ | Token: Arroba| linea= 63 | columna Inicio= 47 | columna Final= 48
asiento | Token: Identificador | linea= 63 | columna Inicio= 48 | columna Final= 55
, | Token: Coma| linea= 63 | columna Inicio= 55 | columna Final= 56
@ | Token: Arroba| linea= 63 | columna Inicio= 57 | columna Final= 58
Canal | Token: Identificador | linea= 63 | columna Inicio= 58 | columna Final= 63
, | Token: Coma| linea= 63 | columna Inicio= 63 | columna Final= 64
@ | Token: Arroba| linea= 63 | columna Inicio= 65 | columna Final= 66
seccion | Token: Identificador | linea= 63 | columna Inicio= 66 | columna Final= 73
, | Token: Coma| linea= 63 | columna Inicio= 73 | columna Final= 74
0 | Token: Bit | linea= 63| columna Inicio= 75| columna Final= 76
) | Token: ParentesisCerrado| linea= 64 | columna Inicio= 3 | columna Final= 4
; | Token: PuntoyComa| linea= 64 | columna Inicio= 4 | columna Final= 5
INSERT | Token: INSERT| linea= 65 | columna Inicio= 1 | columna Final= 7
INTO | Token: INTO| linea= 65 | columna Inicio= 8 | columna Final= 12
Reservacion | Token: Identificador | linea= 65 | columna Inicio= 13 | columna Final= 24
( | Token: ParentesisAbierto| linea= 65 | columna Inicio= 24 | columna Final= 25
